N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,에스디바이오센서,"58,400",900,+1.57%,500,"60,310","103,271",11.69,"1,161,839",8.85,139.97,
60,강원랜드,"28,100","1,000",+3.69%,500,"60,117","213,940",18.40,"1,483,337",-182.47,-7.92,
61,LG유플러스,"13,650",250,-1.80%,"5,000","59,597","436,611",36.33,"941,961",8.36,9.47,
62,맥쿼리인프라,"13,600",0,0.00%,0,"55,059","404,846",14.08,"1,018,148",N/A,N/A,
63,현대건설,"49,200",800,+1.65%,"5,000","54,787","111,356",23.19,"693,425",32.71,1.84,
64,F&F,"695,000","6,000",+0.87%,500,"53,247","7,661",14.01,"50,563",N/A,N/A,
65,삼성엔지니어링,"26,550",200,+0.76%,"5,000","52,038","196,000",40.15,"2,191,722",13.97,20.67,
66,현대제철,"38,950",350,+0.91%,"5,000","51,977","133,446",20.75,"354,546",5.96,-2.59,
67,CJ제일제당,"344,500","5,500",+1.62%,"5,000","51,862","15,054",22.36,"19,731",11.75,13.50,
68,KODEX 200,"36,040",530,+1.49%,0,"50,348","139,700",8.52,"3,232,082",N/A,N/A,
69,미래에셋증권,"8,180",120,+1.49%,"5,000","50,333","615,316",13.81,"1,345,979",5.60,8.94,
70,코웨이,"66,800",100,+0.15%,500,"49,298","73,800",61.06,"161,849",11.06,31.51,
71,SKC,"129,000","4,000",+3.20%,"5,000","48,850","37,868",16.60,"97,101",26.28,2.21,
72,삼성중공업,"5,530",0,0.00%,"1,000","48,664","880,000",14.57,"2,804,287",-2.69,-36.89,
73,금호석유,"157,000","7,000",+4.67%,"5,000","47,564","30,296",20.10,"111,878",2.81,20.18,
74,메리츠화재,"38,350",850,-2.17%,500,"46,260","120,625",11.78,"360,240",7.96,16.91,
75,메리츠금융지주,"33,700",400,-1.17%,500,"45,162","134,011",8.25,"539,554",6.35,16.06,
76,유한양행,"59,000",0,0.00%,"1,000","43,207","73,231",17.54,"133,252",42.78,5.45,
77,한국타이어앤테크놀로지,"34,450","1,450",+4.39%,500,"42,675","123,875",40.89,"248,747",6.46,5.12,
78,DB손해보험,"59,200","1,100",+1.89%,500,"41,914","70,800",42.88,"125,806",5.26,9.08,
79,한국금융지주,"74,700",300,+0.40%,"5,000","41,627","55,726",34.89,"228,276",2.56,16.27,
80,현대중공업지주,"52,400","1,000",+1.95%,"1,000","41,392","78,993",16.36,"105,004",-12.15,-8.12,
81,쌍용C&E,"8,130",110,+1.37%,100,"40,964","503,860",3.34,"737,802",19.88,7.92,
82,GS건설,"47,350",400,+0.85%,"5,000","40,523","85,581",27.01,"678,450",11.53,7.68,
83,두산밥캣,"39,200","1,150",+3.02%,500,"39,298","100,249",25.19,"156,639",10.73,6.15,
84,팬오션,"7,260",50,+0.69%,"1,000","38,810","534,570",13.01,"5,520,976",7.06,17.16,
85,메리츠증권,"5,690",0,0.00%,"1,000","38,790","681,731",12.67,"1,496,653",5.78,13.08,
86,일진머티리얼즈,"83,900",900,+1.08%,500,"38,687","46,111",13.39,"210,751",60.89,7.23,
87,이마트,"138,000","2,500",+1.85%,"5,000","38,469","27,876",31.41,"229,354",2.78,4.05,
88,한국가스공사,"40,700",100,+0.25%,"5,000","37,571","92,313",11.23,"371,966",8.45,-2.24,
89,한진칼,"55,800","3,800",+7.31%,"2,500","37,253","66,761",14.60,"463,946",-63.55,-19.55,
90,삼성카드,"32,100",100,+0.31%,"5,000","37,191","115,859",7.28,"55,136",7.92,5.69,
91,GS,"39,900",200,+0.50%,"5,000","37,073","92,915",19.16,"168,753",3.62,-2.82,
92,삼성증권,"40,900",600,+1.49%,"5,000","36,524","89,300",29.98,"339,698",3.85,9.89,
93,한국항공우주,"37,250",100,+0.27%,"5,000","36,309","97,475",15.24,"662,111",253.40,6.39,
94,아모레G,"43,800","1,100",+2.58%,500,"36,117","82,458",15.69,"92,333",24.59,0.31,
95,한미약품,"280,000","9,000",+3.32%,"2,500","34,490","12,318",13.43,"53,327",44.60,1.65,
96,NH투자증권,"11,350",50,+0.44%,"5,000","33,713","297,034",17.85,"1,155,824",4.17,10.32,
97,한전기술,"88,100",800,-0.90%,200,"33,672","38,220",1.59,"433,671",331.20,N/A,
98,롯데지주,"31,450",700,+2.28%,200,"32,994","104,909",7.90,"130,062",16.39,-3.03,
99,현대오토에버,"118,500","1,500",+1.28%,500,"32,497","27,424",1.89,"31,058",43.01,11.09,
100,오리온,"82,000",400,+0.49%,500,"32,420","39,536",36.97,"164,624",13.63,15.50,
101,TIGER 차이나전기차SOLACTIVE,"14,900",665,+4.67%,0,"32,166","215,880",0.37,"7,623,920",N/A,N/A,
102,현대미포조선,"80,000",200,-0.25%,"5,000","31,954","39,942",11.23,"239,364",-20.01,-7.11,
103,한미사이언스,"46,300","4,300",+10.24%,500,"31,773","68,624",2.24,"358,556",58.68,3.47,
104,호텔신라,"79,900","2,300",+2.96%,"5,000","31,359","39,248",13.10,"637,959",118.02,4.51,
105,BGF리테일,"179,000","6,000",+3.47%,"1,000","30,938","17,284",30.93,"99,726",20.96,19.61,
106,CJ대한통운,"134,500","1,000",+0.75%,"5,000","30,683","22,812",20.20,"25,589",104.18,3.89,
107,DB하이텍,"69,000",900,+1.32%,"5,000","30,635","44,399",23.73,"529,165",14.41,23.07,
108,현대차2우B,"83,400","1,800",+2.21%,"5,000","30,429","36,485",62.13,"121,120",4.67,N/A,
109,한화시스템,"16,000",100,+0.63%,"5,000","30,227","188,919",2.63,"335,043",19.39,9.35,
110,대우건설,"7,180",80,+1.13%,"5,000","29,842","415,623",10.72,"4,291,820",6.10,11.06,
111,GS리테일,"28,150",50,-0.18%,"1,000","29,478","104,718",7.55,"250,802",2.84,7.50,
112,KCC,"326,000","7,500",+2.35%,"5,000","28,970","8,886",10.96,"38,262",4.11,12.79,
